Study ,TE,cr,dfr,picture,gender
Pan1,0.481578947,0.7,0.5,0.833333333,0.9
Pan1,0.381578947,0.533333333,0.45,0.55,0.75
Pan1,0.228947368,0.6,0.433333333,0.833333333,0.816666667
Pan1,0.071052632,0.6,0.45,0.683333333,0.766666667
Pan1,0.092105263,0.4,0.266666667,0.633333333,0.783333333
Pan1,0.281578947,0.466666667,0.216666667,0.6,0.766666667
Pan1,0.142105263,0.233333333,0.266666667,0.6,0.833333333
Pan1,0.273684211,0.433333333,0.183333333,0.766666667,0.883333333
Pan1,0.139473684,0.166666667,0.433333333,0.533333333,0.916666667
Pan1,-0.055263158,0.733333333,0.45,0.483333333,0.766666667
Pan1,0.273684211,0.633333333,0.366666667,0.366666667,0.766666667
Pan1,0.534210526,0.366666667,0.3,0.65,0.816666667
Pan1,-0.007894737,0.233333333,0.416666667,0.483333333,0.85
Pan1,0.268421053,0.366666667,0.233333333,0.683333333,0.716666667
Pan1,0.218421053,0.033333333,0.166666667,0.716666667,0.8
Pan1,-0.057894737,0.266666667,0.35,0.583333333,0.733333333
Pan1,0.165789474,0.266666667,0.25,0.766666667,0.666666667
Pan1,-0.026315789,0.633333333,0.75,0.483333333,0.683333333
Pan1,0.181578947,0.366666667,0.166666667,0.533333333,0.9
Pan1,-0.013157895,0.4,0.3,0.783333333,0.766666667
Pan1,0.271052632,0.233333333,0.2,0.816666667,0.816666667
Pan1,0.055263158,0.233333333,0.416666667,0.583333333,0.866666667
Pan1,0.297368421,0.266666667,0.4,0.616666667,0.85
Pan1,-0.076315789,0.333333333,0.516666667,0.716666667,0.866666667
Pan1,0.002631579,0.133333333,0.716666667,0.583333333,0.733333333
Pan1,0.434210526,0.233333333,0.283333333,0.4,0.65
Pan1,0.339473684,0.666666667,0.316666667,0.8,0.883333333
Pan1,0.539473684,0.2,0.533333333,0.616666667,0.866666667
Pan1,0.142105263,0.233333333,0.283333333,0.633333333,0.733333333
Pan1,0.042105263,0.2,0.233333333,0.5,0.8
Pan1,-0.094736842,0.133333333,0.15,0.133333333,0.483333333
Pan1,0.444736842,0.4,0.333333333,0.583333333,0.833333333
Pan1,0.247368421,0.433333333,0.25,0.6,0.9
Pan1,0.021052632,0.7,0.7,0.65,0.833333333
Pan1,0.286842105,0.233333333,0.266666667,0.616666667,0.85
Pan1,0.181578947,0.466666667,0.483333333,0.733333333,0.85
Pan1,0.186842105,0.2,0.25,0.55,0.8
Pan1,0.228947368,0.3,0.233333333,0.633333333,0.866666667
Pan1,0.134210526,0.133333333,0.35,0.616666667,0.783333333
Pan1,0.236842105,0.266666667,0.35,0.633333333,0.85
Pan1,0.284210526,0.5,0.4,0.85,0.883333333
Pan1,0.026315789,0.4,0.4,0.716666667,0.75
Pan1,0.060526316,0.466666667,0.6,0.616666667,0.916666667
Pan1,0.007894737,0.3,0.283333333,0.566666667,0.916666667
Pan1,0.268421053,0.533333333,0.35,0.716666667,0.733333333
Pan1,0.323684211,0.566666667,0.266666667,0.7,0.766666667
Pan1,0.215789474,0.3,0.416666667,0.716666667,0.8
Pan1,0.278947368,0.833333333,0.45,0.75,0.766666667
Pan1,0.084210526,0.2,0.316666667,0.55,0.8
Pan1,0.436842105,0.666666667,0.516666667,0.783333333,0.9
Pan1,0.165789474,0.433333333,0.533333333,0.683333333,0.916666667
Pan1,-0.134210526,0.2,0.383333333,0.6,0.633333333
Pan1,0.381578947,0.2,0.416666667,0.566666667,0.766666667
Pan1,-0.065789474,0.1,0.35,0.683333333,0.733333333
Pan1,0.094736842,0.1,0.383333333,0.633333333,0.733333333
Pan1,0.447368421,0.2,0.3,0.666666667,0.716666667
Pan1,0.431578947,0.4,0.183333333,0.6,0.766666667
Pan1,0.426315789,0.033333333,0.433333333,0.266666667,0.883333333
Pan1,0.171052632,0.233333333,0.266666667,0.633333333,0.833333333
Pan1,-0.244736842,0.433333333,0.433333333,0.633333333,0.833333333
Pan1,0.094736842,0.366666667,0.25,0.716666667,0.716666667
Pan1,0.194736842,0.266666667,0.283333333,0.733333333,0.883333333
Pan1,0.121052632,0.166666667,0.633333333,0.6,1
Pan1,-0.228947368,0.166666667,0.6,0.633333333,0.816666667
Pan1,-0.1,0.133333333,0.133333333,0.4,0.566666667
Pan1,0.334210526,0.166666667,0.233333333,0.733333333,0.8
Pan1,0.489473684,0.166666667,0.4,0.733333333,0.883333333
Pan1,0.3,0.166666667,0.1,0.45,0.666666667
